N,F,f,m,r
125,5,2,250,51
250,5,2,500,61
500,5,2,1000,61
1000,5,2,2000,81
2000,5,2,4000,81
125,4,2,250,61
250,4,2,500,81
500,4,2,1000,101
1000,4,2,2000,111
2000,4,2,4000,121
125,3,2,250,81
250,3,2,500,131
500,3,2,1000,171
1000,3,2,2000,221
2000,3,2,4000,261
125,5,3,250,81
250,5,3,500,141
500,5,3,1000,201
1000,5,3,2000,241
2000,5,3,4000,301
125,4,3,250,101
250,4,3,500,191
500,4,3,1000,331
1000,4,3,2000,471
2000,4,3,4000,691
4000,5,2,8000,91
8000,5,2,16000,91
16000,5,2,32000,91
4000,4,2,8000,131
8000,4,2,16000,141
16000,4,2,32000,161
4000,3,2,8000,311
8000,3,2,16000,341
16000,3,2,32000,331
