experiment_2(2000, 4, 5000, 1000, 1234567890, [11, 21, 31, 41, 51, 61, 71, 81, 91, 101])...
N=2000, F=1/4, f=1/2, m=4000, r=11, fails=1000
N=2000, F=1/4, f=1/2, m=4000, r=21, fails=899
N=2000, F=1/4, f=1/2, m=4000, r=31, fails=273
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=76
N=2000, F=1/4, f=1/2, m=4000, r=51, fails=13
N=2000, F=1/4, f=1/2, m=4000, r=61, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=71, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=81, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=91, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=101, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=11, fails=1000
N=2000, F=1/4, f=1/2, m=4000, r=21, fails=891
N=2000, F=1/4, f=1/2, m=4000, r=31, fails=293
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=72
N=2000, F=1/4, f=1/2, m=4000, r=51, fails=9
N=2000, F=1/4, f=1/2, m=4000, r=61, fails=1
N=2000, F=1/4, f=1/2, m=4000, r=71, fails=1
N=2000, F=1/4, f=1/2, m=4000, r=81, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=91, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=101, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=11, fails=1000
N=2000, F=1/4, f=1/2, m=4000, r=21, fails=889
N=2000, F=1/4, f=1/2, m=4000, r=31, fails=259
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=70
N=2000, F=1/4, f=1/2, m=4000, r=51, fails=9
N=2000, F=1/4, f=1/2, m=4000, r=61, fails=2
N=2000, F=1/4, f=1/2, m=4000, r=71, fails=1
N=2000, F=1/4, f=1/2, m=4000, r=81, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=91, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=101, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=11, fails=1000
N=2000, F=1/4, f=1/2, m=4000, r=21, fails=894
N=2000, F=1/4, f=1/2, m=4000, r=31, fails=279
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=64
N=2000, F=1/4, f=1/2, m=4000, r=51, fails=16
N=2000, F=1/4, f=1/2, m=4000, r=61, fails=3
N=2000, F=1/4, f=1/2, m=4000, r=71, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=81, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=91, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=101, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=11, fails=1000
N=2000, F=1/4, f=1/2, m=4000, r=21, fails=902
N=2000, F=1/4, f=1/2, m=4000, r=31, fails=287
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=81
N=2000, F=1/4, f=1/2, m=4000, r=51, fails=11
N=2000, F=1/4, f=1/2, m=4000, r=61, fails=3
N=2000, F=1/4, f=1/2, m=4000, r=71, fails=1
N=2000, F=1/4, f=1/2, m=4000, r=81, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=91, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=101, fails=0
N=2000, F=1/4, f=1/2, m=4000, r=11, fails=1000
N=2000, F=1/4, f=1/2, m=4000, r=21, fails=893
N=2000, F=1/4, f=1/2, m=4000, r=31, fails=292
