experiment_2(4000, 4, 5000, 1000, 1234567890, [11, 21, 31, 41, 51, 61, 71, 81, 91, 101])...
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=991
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=505
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=126
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=6
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=992
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=465
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=140
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=3
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=981
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=470
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=145
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=1
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=1
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=989
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=484
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=133
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=1
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=991
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=444
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=152
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=5
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=3
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=995
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=526
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=154
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=26
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=988
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=477
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=148
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=34
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=1
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=984
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=495
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=119
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=34
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=5
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=984
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=451
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=154
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=28
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=3
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=990
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=445
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=142
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=5
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=994
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=439
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=128
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=32
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=6
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=1
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=987
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=460
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=146
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=24
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=1
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=990
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=477
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=126
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=19
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=1
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=990
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=483
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=137
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=6
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=1
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=991
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=451
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=135
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=30
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=990
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=469
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=138
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=994
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=492
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=148
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=25
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=7
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=991
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=495
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=157
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=29
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=982
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=478
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=138
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=30
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=1
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=985
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=494
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=129
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=35
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=5
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=993
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=474
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=133
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=22
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=983
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=491
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=129
N=4000, F=1/4, f=1/2, m=8000, r=51, fails=31
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=6
N=4000, F=1/4, f=1/2, m=8000, r=71, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=81, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=91, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=101, fails=0
N=4000, F=1/4, f=1/2, m=8000, r=11, fails=1000
N=4000, F=1/4, f=1/2, m=8000, r=21, fails=989
N=4000, F=1/4, f=1/2, m=8000, r=31, fails=462
N=4000, F=1/4, f=1/2, m=8000, r=41, fails=140
