experiment_3(4000, 4, 61, 5000, 1000, 5678901234, [1000, 1333, 2000, 4000, 8000, 12000, 16000])...
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=4
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=6
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=5
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=7
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=5
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=8
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=3
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=5
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=8
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=1
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=3
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=2
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=8
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=5
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=5
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=6
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=10
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=3
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=8
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=7
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=7
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=1
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=1
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=6
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=8
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=2
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=8
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=7
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=4
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=5
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=5
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=7
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=2
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=1
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=6
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=2
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=6
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=5
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=3
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=6
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=2
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=2
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=5
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=1
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=10
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=2
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=0
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=3
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=8
N=4000, F=1/4, f=1/2, m=1000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=1333, r=61, fails=6
N=4000, F=1/4, f=1/2, m=2000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=4000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=8000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=12000, r=61, fails=4
N=4000, F=1/4, f=1/2, m=16000, r=61, fails=2
